#SRC:M87,DATE(MJD):58230,FREQ:215.1GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
01.51527786,AA,AX,587781.9375,-1548026.0000,1.12267056,-0.3047,0.00459459
01.51527786,AA,MG,1854343040.0000,-4624108544.0000,0.20791812,0.2916,0.00670054
01.51527786,AX,MG,1853721600.0000,-4622566400.0000,0.20820902,-9.9506,0.06064771
01.51805556,AA,AX,587380.5000,-1547935.8750,1.12263662,-0.0935,0.00477177
01.51805556,AA,MG,1856019072.0000,-4623815680.0000,0.21949273,-5.3691,0.00689882
01.51805556,AX,MG,1855381760.0000,-4622276608.0000,0.22827881,28.6204,0.05832562
01.52083325,AA,AX,586961.9375,-1547842.1250,1.12256770,-0.1408,0.00550523
01.52083325,AA,MG,1857653760.0000,-4623529472.0000,0.21732363,-2.3250,0.00671634
01.52083325,AX,MG,1857098624.0000,-4621976064.0000,0.21623853,-5.8925,0.06216765
01.52361113,AA,AX,586544.8750,-1547748.7500,1.12276727,-0.2427,0.00479358
01.52361113,AA,MG,1859302784.0000,-4623240192.0000,0.20259754,-0.8496,0.00638944
01.52361113,AX,MG,1858626048.0000,-4621708288.0000,0.19286556,31.2450,0.07307260
01.52638882,AA,AX,586156.6875,-1547662.0000,1.12267852,-0.6575,0.00497948
01.52638882,AA,MG,1860825984.0000,-4622972416.0000,0.20108887,-1.9206,0.00702147
01.52638882,AX,MG,1860287872.0000,-4621416448.0000,0.16149830,-10.5603,0.06287080
01.52916670,AA,AX,585734.6250,-1547567.7500,1.12283225,1.0272,0.00484565
01.52916670,AA,MG,1862438400.0000,-4622688768.0000,0.21844988,0.7587,0.00713410
01.52916670,AX,MG,1861964416.0000,-4621121536.0000,0.22873028,28.4616,0.06151353
01.53194439,AA,AX,585334.3750,-1547478.6250,1.12278849,-0.4985,0.00462520
01.53472227,AA,AX,584927.5625,-1547388.1250,1.12275294,0.1982,0.00492742
01.53472227,AA,MG,1865791488.0000,-4622097408.0000,0.19600236,-5.7288,0.00609025
01.53472227,AX,MG,1865208192.0000,-4620550144.0000,0.17031372,-13.8397,0.06938210
01.53749996,AA,AX,584500.4375,-1547293.2500,1.12284627,-0.4505,0.00458309
01.54027784,AA,AX,584092.3750,-1547202.6250,1.12258744,0.0034,0.00445029
01.54027784,AA,MG,1869113472.0000,-4621510144.0000,0.22182814,-0.6235,0.00707052
01.54027784,AX,MG,1868565376.0000,-4619956736.0000,0.22620956,-4.8251,0.06152114
01.54305553,AA,AX,583671.4375,-1547109.3750,1.12274538,-0.8672,0.00444933
01.54305553,AA,MG,1870740096.0000,-4621221888.0000,0.20869521,-2.1534,0.00648519
01.54305553,AX,MG,1870081792.0000,-4619687936.0000,0.20678403,7.2689,0.06107410
01.54583341,AA,AX,583266.6250,-1547019.8750,1.12267455,0.2515,0.00442035
01.54583341,AX,MG,1871750016.0000,-4619392000.0000,0.15727733,5.2763,0.07608659
